db_type,release,organism,source,missing_meta,missing_coord
vertebrates,91,mus_musculus_akrj,tgz-only,1,1
vertebrates,91,mus_musculus_balbcj,tgz-only,1,1
vertebrates,91,mus_musculus_c3hhej,tgz-only,1,1
vertebrates,91,mus_musculus_c57bl6nj,tgz-only,1,1
vertebrates,91,mus_musculus_casteij,tgz-only,1,1
vertebrates,91,mus_musculus_cbaj,tgz-only,1,1
vertebrates,91,mus_musculus_dba2j,tgz-only,1,1
vertebrates,91,mus_musculus_fvbnj,tgz-only,1,1
vertebrates,91,mus_musculus_lpj,tgz-only,1,1
vertebrates,91,mus_musculus_nodshiltj,tgz-only,1,1
vertebrates,91,mus_musculus_nzohlltj,tgz-only,1,1
vertebrates,91,mus_musculus_pwkphj,tgz-only,1,1
vertebrates,91,mus_musculus_wsbeij,tgz-only,1,1
vertebrates,91,mus_pahari,tgz-only,1,1
vertebrates,91,mus_spretus_spreteij,tgz-only,1,1
vertebrates,91,mustela_putorius_furo,tgz-only,1,1
vertebrates,91,myotis_lucifugus,tgz-only,1,1
vertebrates,91,nannospalax_galili,tgz-only,1,1
vertebrates,91,nomascus_leucogenys,tgz-only,1,1
vertebrates,91,notamacropus_eugenii,tgz-only,1,1
vertebrates,91,ochotona_princeps,tgz-only,1,1
vertebrates,91,octodon_degus,tgz-only,1,1
vertebrates,91,oreochromis_niloticus,tgz-only,1,1
vertebrates,91,ornithorhynchus_anatinus,tgz-only,1,1
vertebrates,91,oryctolagus_cuniculus,tgz-only,1,1
vertebrates,91,oryzias_latipes,tgz-only,1,1
vertebrates,91,otolemur_garnettii,tgz-only,1,1
vertebrates,91,ovis_aries,tgz-only,1,1
vertebrates,91,pan_paniscus,tgz-only,1,1
vertebrates,91,pan_troglodytes,tgz-only,1,1
vertebrates,91,papio_anubis,tgz-only,1,1
vertebrates,91,pelodiscus_sinensis,tgz-only,1,1
vertebrates,91,peromyscus_maniculatus_bairdii,tgz-only,1,1
vertebrates,91,petromyzon_marinus,tgz-only,1,1
vertebrates,91,poecilia_formosa,tgz-only,1,1
vertebrates,91,pongo_abelii,tgz-only,1,1
vertebrates,91,procavia_capensis,tgz-only,1,1
vertebrates,91,propithecus_coquereli,tgz-only,1,1
vertebrates,91,pteropus_vampyrus,tgz-only,1,1
